id	annotator	position	question	table_file	answer_coordinates	answer_text
nt-639	0	0	where are the players from?	table_csv/203_149.csv	['(0, 4)', '(1, 4)', '(2, 4)', '(3, 4)', '(4, 4)', '(5, 4)', '(6, 4)', '(7, 4)', '(8, 4)', '(9, 4)', '(10, 4)', '(11, 4)', '(12, 4)', '(13, 4)', '(14, 4)', '(15, 4)', '(16, 4)', '(17, 4)', '(18, 4)', '(19, 4)', '(20, 4)', '(21, 4)', '(22, 4)', '(23, 4)', '(24, 4)', '(25, 4)']	['Louisiana State University', 'Valley HS (Las Vegas, NV)', 'Saugus (CA) HS', 'Simeon HS (Chicago, IL)', 'Texas Tech University', 'Frankston (TX) HS', 'Auburn University', 'Lancaster (SC) HS', 'Long Beach State University', 'Westwood HS (Fort Pierce, FL)', 'W.T. White High School (Dallas, TX)', 'Salem (MA) HS', 'Cal State Fullerton', 'Fresno State University', 'Hillsborough HS (Tampa, FL)', 'Sarasota (FL) HS', 'University of Iowa', 'Jones County HS (Gray, GA)', 'Fresno State University', 'University of Texas', 'Santa Clara University', 'Fresno State University', 'Seton Hall University', 'University of Arizona', 'Texas A&M University', 'Hamden (CT) HS']
nt-639	0	1	which player went to louisiana state university?	table_csv/203_149.csv	['(0, 1)']	['Ben McDonald']
nt-639	1	0	who are the players?	table_csv/203_149.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)', '(16, 1)', '(17, 1)', '(18, 1)', '(19, 1)', '(20, 1)', '(21, 1)', '(22, 1)', '(23, 1)', '(24, 1)', '(25, 1)']	['Ben McDonald', 'Tyler Houston', 'Roger Salkeld', 'Jeff Jackson', 'Donald Harris', 'Paul Coleman', 'Frank Thomas', 'Earl Cunningham', 'Kyle Abbott', 'Charles Johnson', 'Calvin Murray', 'Jeff Juden', 'Brent Mayne', 'Steve Hosey', 'Kiki Jones', 'Greg Blosser', 'Cal Eldred', 'Willie Greene', 'Eddie Zosky', 'Scott Bryant', 'Greg Gohr', 'Tom Goodwin', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']
nt-639	1	1	which ones are in the top 26 picks?	table_csv/203_149.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)', '(16, 1)', '(17, 1)', '(18, 1)', '(19, 1)', '(20, 1)', '(21, 1)', '(22, 1)', '(23, 1)', '(24, 1)', '(25, 1)']	['Ben McDonald', 'Tyler Houston', 'Roger Salkeld', 'Jeff Jackson', 'Donald Harris', 'Paul Coleman', 'Frank Thomas', 'Earl Cunningham', 'Kyle Abbott', 'Charles Johnson', 'Calvin Murray', 'Jeff Juden', 'Brent Mayne', 'Steve Hosey', 'Kiki Jones', 'Greg Blosser', 'Cal Eldred', 'Willie Greene', 'Eddie Zosky', 'Scott Bryant', 'Greg Gohr', 'Tom Goodwin', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']
nt-639	1	2	and of those, who is from louisiana state university?	table_csv/203_149.csv	['(0, 1)']	['Ben McDonald']
nt-639	2	0	who are the players in the top 26?	table_csv/203_149.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)', '(16, 1)', '(17, 1)', '(18, 1)', '(19, 1)', '(20, 1)', '(21, 1)', '(22, 1)', '(23, 1)', '(24, 1)', '(25, 1)']	['Ben McDonald', 'Tyler Houston', 'Roger Salkeld', 'Jeff Jackson', 'Donald Harris', 'Paul Coleman', 'Frank Thomas', 'Earl Cunningham', 'Kyle Abbott', 'Charles Johnson', 'Calvin Murray', 'Jeff Juden', 'Brent Mayne', 'Steve Hosey', 'Kiki Jones', 'Greg Blosser', 'Cal Eldred', 'Willie Greene', 'Eddie Zosky', 'Scott Bryant', 'Greg Gohr', 'Tom Goodwin', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']
nt-639	2	1	of those, which one was from louisiana state university?	table_csv/203_149.csv	['(0, 1)']	['Ben McDonald']
nt-11137	0	0	which nations competed in the 2004 african judo championships?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Algeria', 'Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	0	1	of these, which earned more than 7 total medals?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)']	['Algeria', 'Tunisia', 'Egypt']
nt-11137	0	2	of the remaining, which earned the most bronze medals?	table_csv/204_34.csv	['(1, 1)']	['Tunisia']
nt-11137	1	0	which nations competed in the 2004 african judo championships?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Algeria', 'Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	1	1	and how many bronze medals did they win?	table_csv/204_34.csv	['(0, 4)', '(1, 4)', '(2, 4)', '(3, 4)', '(4, 4)', '(5, 4)', '(6, 4)', '(7, 4)', '(8, 4)', '(9, 4)', '(10, 4)', '(11, 4)', '(12, 4)', '(13, 4)', '(14, 4)', '(15, 4)']	['0', '5', '3', '5', '5', '1', '0', '0', '0', '0', '3', '2', '1', '1', '1', '1']
nt-11137	1	2	how many did just algeria, tunisia, and egypt receive?	table_csv/204_34.csv	['(0, 4)', '(1, 4)', '(2, 4)']	['0', '5', '3']
nt-11137	1	3	and of those medals, which nation won more?	table_csv/204_34.csv	['(1, 1)']	['Tunisia']
nt-11137	2	0	what are the names of the competing nations?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Algeria', 'Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	2	1	which nations won at least 1 bronze medal?	table_csv/204_34.csv	['(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	2	2	of these, which won at least 5 bronze medals?	table_csv/204_34.csv	['(1, 1)', '(3, 1)', '(4, 1)']	['Tunisia', 'Cameroon', 'Morocco']
nt-11137	2	3	which nations won less than 1 bronze medal?	table_csv/204_34.csv	['(0, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)']	['Algeria', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar']
nt-11137	2	4	which nation, algeria, tunisia, or egypt, won the most bronze medals?	table_csv/204_34.csv	['(1, 1)']	['Tunisia']
