id	annotator	position	question	table_file	answer_coordinates	answer_text
nt-639	0	0	where are the players from?	table_csv/203_149.csv	['(0, 4)', '(1, 4)', '(2, 4)', '(3, 4)', '(4, 4)', '(5, 4)', '(6, 4)', '(7, 4)', '(8, 4)', '(9, 4)', '(10, 4)', '(11, 4)', '(12, 4)', '(13, 4)', '(14, 4)', '(15, 4)', '(16, 4)', '(17, 4)', '(18, 4)', '(19, 4)', '(20, 4)', '(21, 4)', '(22, 4)', '(23, 4)', '(24, 4)', '(25, 4)']	['Louisiana State University', 'Valley HS (Las Vegas, NV)', 'Saugus (CA) HS', 'Simeon HS (Chicago, IL)', 'Texas Tech University', 'Frankston (TX) HS', 'Auburn University', 'Lancaster (SC) HS', 'Long Beach State University', 'Westwood HS (Fort Pierce, FL)', 'W.T. White High School (Dallas, TX)', 'Salem (MA) HS', 'Cal State Fullerton', 'Fresno State University', 'Hillsborough HS (Tampa, FL)', 'Sarasota (FL) HS', 'University of Iowa', 'Jones County HS (Gray, GA)', 'Fresno State University', 'University of Texas', 'Santa Clara University', 'Fresno State University', 'Seton Hall University', 'University of Arizona', 'Texas A&M University', 'Hamden (CT) HS']
nt-639	0	1	which player went to louisiana state university?	table_csv/203_149.csv	['(0, 1)']	['Ben McDonald']
nt-639	1	0	who are the players?	table_csv/203_149.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)', '(16, 1)', '(17, 1)', '(18, 1)', '(19, 1)', '(20, 1)', '(21, 1)', '(22, 1)', '(23, 1)', '(24, 1)', '(25, 1)']	['Ben McDonald', 'Tyler Houston', 'Roger Salkeld', 'Jeff Jackson', 'Donald Harris', 'Paul Coleman', 'Frank Thomas', 'Earl Cunningham', 'Kyle Abbott', 'Charles Johnson', 'Calvin Murray', 'Jeff Juden', 'Brent Mayne', 'Steve Hosey', 'Kiki Jones', 'Greg Blosser', 'Cal Eldred', 'Willie Greene', 'Eddie Zosky', 'Scott Bryant', 'Greg Gohr', 'Tom Goodwin', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']
nt-639	1	1	which ones are in the top 26 picks?	table_csv/203_149.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)', '(16, 1)', '(17, 1)', '(18, 1)', '(19, 1)', '(20, 1)', '(21, 1)', '(22, 1)', '(23, 1)', '(24, 1)', '(25, 1)']	['Ben McDonald', 'Tyler Houston', 'Roger Salkeld', 'Jeff Jackson', 'Donald Harris', 'Paul Coleman', 'Frank Thomas', 'Earl Cunningham', 'Kyle Abbott', 'Charles Johnson', 'Calvin Murray', 'Jeff Juden', 'Brent Mayne', 'Steve Hosey', 'Kiki Jones', 'Greg Blosser', 'Cal Eldred', 'Willie Greene', 'Eddie Zosky', 'Scott Bryant', 'Greg Gohr', 'Tom Goodwin', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']
nt-639	1	2	and of those, who is from louisiana state university?	table_csv/203_149.csv	['(0, 1)']	['Ben McDonald']
nt-639	2	0	who are the players in the top 26?	table_csv/203_149.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)', '(16, 1)', '(17, 1)', '(18, 1)', '(19, 1)', '(20, 1)', '(21, 1)', '(22, 1)', '(23, 1)', '(24, 1)', '(25, 1)']	['Ben McDonald', 'Tyler Houston', 'Roger Salkeld', 'Jeff Jackson', 'Donald Harris', 'Paul Coleman', 'Frank Thomas', 'Earl Cunningham', 'Kyle Abbott', 'Charles Johnson', 'Calvin Murray', 'Jeff Juden', 'Brent Mayne', 'Steve Hosey', 'Kiki Jones', 'Greg Blosser', 'Cal Eldred', 'Willie Greene', 'Eddie Zosky', 'Scott Bryant', 'Greg Gohr', 'Tom Goodwin', 'Mo Vaughn', 'Alan Zinter', 'Chuck Knoblauch', 'Scott Burrell']
nt-639	2	1	of those, which one was from louisiana state university?	table_csv/203_149.csv	['(0, 1)']	['Ben McDonald']
nt-11649	0	0	what are all the names of the teams?	table_csv/204_135.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Cordoba CF', 'CD Malaga', 'Granada CF', 'UD Las Palmas', 'Recreativo de Huelva', 'Levante UD', 'Hercules CF', 'Real Murcia', 'Real Jaen', 'Cadiz CF', 'CD Cartagena', 'CD Mestalla', 'Albacete Balompie', 'CD San Fernando', 'Atletico Ceuta', 'CD Villarrobledo']
nt-11649	0	1	of these, which teams had any losses?	table_csv/204_135.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Cordoba CF', 'CD Malaga', 'Granada CF', 'UD Las Palmas', 'Recreativo de Huelva', 'Levante UD', 'Hercules CF', 'Real Murcia', 'Real Jaen', 'Cadiz CF', 'CD Cartagena', 'CD Mestalla', 'Albacete Balompie', 'CD San Fernando', 'Atletico Ceuta', 'CD Villarrobledo']
nt-11649	0	2	of these teams, which had more than 21 losses?	table_csv/204_135.csv	['(15, 1)']	['CD Villarrobledo']
nt-11649	1	0	what are the losses?	table_csv/204_135.csv	['(0, 6)', '(1, 6)', '(2, 6)', '(3, 6)', '(4, 6)', '(5, 6)', '(6, 6)', '(7, 6)', '(8, 6)', '(9, 6)', '(10, 6)', '(11, 6)', '(12, 6)', '(13, 6)', '(14, 6)', '(15, 6)']	['6', '6', '9', '10', '10', '12', '12', '11', '13', '14', '15', '14', '13', '14', '15', '22']
nt-11649	1	1	what team had more than 21 losses?	table_csv/204_135.csv	['(15, 1)']	['CD Villarrobledo']
nt-11649	2	0	what were all the teams?	table_csv/204_135.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Cordoba CF', 'CD Malaga', 'Granada CF', 'UD Las Palmas', 'Recreativo de Huelva', 'Levante UD', 'Hercules CF', 'Real Murcia', 'Real Jaen', 'Cadiz CF', 'CD Cartagena', 'CD Mestalla', 'Albacete Balompie', 'CD San Fernando', 'Atletico Ceuta', 'CD Villarrobledo']
nt-11649	2	1	what were the loss totals of all these teams?	table_csv/204_135.csv	['(0, 6)', '(1, 6)', '(2, 6)', '(3, 6)', '(4, 6)', '(5, 6)', '(6, 6)', '(7, 6)', '(8, 6)', '(9, 6)', '(10, 6)', '(11, 6)', '(12, 6)', '(13, 6)', '(14, 6)', '(15, 6)']	['6', '6', '9', '10', '10', '12', '12', '11', '13', '14', '15', '14', '13', '14', '15', '22']
nt-11649	2	2	of these totals, which are greater than 21?	table_csv/204_135.csv	['(15, 6)']	['22']
nt-11649	2	3	which team had this loss total?	table_csv/204_135.csv	['(15, 1)']	['CD Villarrobledo']
nt-10730	0	0	what was the production numbers of each revolver model?	table_csv/203_253.csv	['(0, 4)', '(1, 4)', '(2, 4)', '(3, 4)', '(4, 4)', '(5, 4)', '(6, 4)', '(7, 4)', '(8, 4)', '(9, 4)']	['1,900 (estimated)', '14,500 (estimated)', '6,000 (estimated)', '7,000 (estimated)', '122,000 (approximately)', '28,000 (approximately)', '2,500 - 3,000 (estimated)', '3,000 - 5,000 (estimated)', '25,000 (estimated)', '25,000 (estimated)']
nt-10730	0	1	which of these was the lowest number produced?	table_csv/203_253.csv	['(0, 4)']	['1,900 (estimated)']
nt-10730	0	2	which model did this number belong to?	table_csv/203_253.csv	['(0, 0)']	['Remington-Beals Army Model Revolver']
nt-10730	1	0	what three revolver models had the least amount of production?	table_csv/203_253.csv	['(0, 0)', '(6, 0)', '(7, 0)']	['Remington-Beals Army Model Revolver', 'New Model Single Action Belt Revolver', 'Remington-Rider Double Action New Model Belt Revolver']
nt-10730	1	1	which one had the lowest?	table_csv/203_253.csv	['(0, 0)']	['Remington-Beals Army Model Revolver']
nt-10730	2	0	what are all of the remington models?	table_csv/203_253.csv	['(0, 0)', '(1, 0)', '(2, 0)', '(3, 0)', '(4, 0)', '(5, 0)', '(6, 0)', '(7, 0)', '(8, 0)', '(9, 0)']	['Remington-Beals Army Model Revolver', 'Remington-Beals Navy Model Revolver', '1861 Army Revolver (Old Model Army)', '1861 Navy Revolver', 'New Model Army Revolver', 'New Model Navy Revolver', 'New Model Single Action Belt Revolver', 'Remington-Rider Double Action New Model Belt Revolver', 'New Model Police Revolver', 'New Model Pocket Revolver']
nt-10730	2	1	how many were produced?	table_csv/203_253.csv	['(0, 4)', '(1, 4)', '(2, 4)', '(3, 4)', '(4, 4)', '(5, 4)', '(6, 4)', '(7, 4)', '(8, 4)', '(9, 4)']	['1,900 (estimated)', '14,500 (estimated)', '6,000 (estimated)', '7,000 (estimated)', '122,000 (approximately)', '28,000 (approximately)', '2,500 - 3,000 (estimated)', '3,000 - 5,000 (estimated)', '25,000 (estimated)', '25,000 (estimated)']
nt-10730	2	2	which model was the least produced?	table_csv/203_253.csv	['(0, 0)']	['Remington-Beals Army Model Revolver']
nt-11137	0	0	which nations competed in the 2004 african judo championships?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Algeria', 'Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	0	1	of these, which earned more than 7 total medals?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)']	['Algeria', 'Tunisia', 'Egypt']
nt-11137	0	2	of the remaining, which earned the most bronze medals?	table_csv/204_34.csv	['(1, 1)']	['Tunisia']
nt-11137	1	0	which nations competed in the 2004 african judo championships?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Algeria', 'Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	1	1	and how many bronze medals did they win?	table_csv/204_34.csv	['(0, 4)', '(1, 4)', '(2, 4)', '(3, 4)', '(4, 4)', '(5, 4)', '(6, 4)', '(7, 4)', '(8, 4)', '(9, 4)', '(10, 4)', '(11, 4)', '(12, 4)', '(13, 4)', '(14, 4)', '(15, 4)']	['0', '5', '3', '5', '5', '1', '0', '0', '0', '0', '3', '2', '1', '1', '1', '1']
nt-11137	1	2	how many did just algeria, tunisia, and egypt receive?	table_csv/204_34.csv	['(0, 4)', '(1, 4)', '(2, 4)']	['0', '5', '3']
nt-11137	1	3	and of those medals, which nation won more?	table_csv/204_34.csv	['(1, 1)']	['Tunisia']
nt-11137	2	0	what are the names of the competing nations?	table_csv/204_34.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Algeria', 'Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	2	1	which nations won at least 1 bronze medal?	table_csv/204_34.csv	['(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)', '(15, 1)']	['Tunisia', 'Egypt', 'Cameroon', 'Morocco', 'South Africa', 'Nigeria', 'Senegal', 'Congo Republic', 'Ivory Coast', 'Guinea', 'Niger']
nt-11137	2	2	of these, which won at least 5 bronze medals?	table_csv/204_34.csv	['(1, 1)', '(3, 1)', '(4, 1)']	['Tunisia', 'Cameroon', 'Morocco']
nt-11137	2	3	which nations won less than 1 bronze medal?	table_csv/204_34.csv	['(0, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)']	['Algeria', 'Angola', 'Burkina Faso', 'Gabon', 'Madagascar']
nt-11137	2	4	which nation, algeria, tunisia, or egypt, won the most bronze medals?	table_csv/204_34.csv	['(1, 1)']	['Tunisia']
ns-1292	0	0	who are all the athletes?	table_csv/204_521.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)']	['Tommy Green', 'Janis Dalins', 'Ugo Frigerio', 'Karl Hahnel', 'Ettore Rivolta', 'Paul Sievert', 'Henri Quintric', 'Ernie Crosbie', 'Bill Chisholm', 'Alfred Maasik', 'Henry Cieman', 'John Moralis', 'Francesco Pretti', 'Arthur Tell Schwab', 'Harry Hinkel']
ns-1292	0	1	where are they from?	table_csv/204_521.csv	['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(6, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)', '(12, 2)', '(13, 2)', '(14, 2)']	['Great Britain', 'Latvia', 'Italy', 'Germany', 'Italy', 'Germany', 'France', 'United States', 'United States', 'Estonia', 'Canada', 'Greece', 'Italy', 'Switzerland', 'United States']
ns-1292	0	2	along with paul sievert, which athlete is from germany?	table_csv/204_521.csv	['(3, 1)']	['Karl Hahnel']
ns-1292	1	0	who competed in the men's 50 kilometer walk at the 1932 summer olympics?	table_csv/204_521.csv	['(0, 1)', '(1, 1)', '(2, 1)', '(3, 1)', '(4, 1)', '(5, 1)', '(6, 1)', '(7, 1)', '(8, 1)', '(9, 1)', '(10, 1)', '(11, 1)', '(12, 1)', '(13, 1)', '(14, 1)']	['Tommy Green', 'Janis Dalins', 'Ugo Frigerio', 'Karl Hahnel', 'Ettore Rivolta', 'Paul Sievert', 'Henri Quintric', 'Ernie Crosbie', 'Bill Chisholm', 'Alfred Maasik', 'Henry Cieman', 'John Moralis', 'Francesco Pretti', 'Arthur Tell Schwab', 'Harry Hinkel']
ns-1292	1	1	of those competitors in the 1932 summer olympics men's 50 kilometer walk, which ones were from germany?	table_csv/204_521.csv	['(3, 1)', '(5, 1)']	['Karl Hahnel', 'Paul Sievert']
ns-1292	1	2	of those competitors from germany, which was not paul sievert?	table_csv/204_521.csv	['(3, 1)']	['Karl Hahnel']
ns-1292	2	0	what competitors were from germany?	table_csv/204_521.csv	['(3, 1)', '(5, 1)']	['Karl Hahnel', 'Paul Sievert']
ns-1292	2	1	who was not paul sievert?	table_csv/204_521.csv	['(3, 1)']	['Karl Hahnel']
nt-6436	0	0	what was the population of ghimbav in 2007?	table_csv/203_465.csv	['(3, 2)']	['5,357']
nt-6436	0	1	what was the population of sacele in 2007?	table_csv/203_465.csv	['(2, 2)']	['31,796']
nt-6436	0	2	what was the population of predeal in 2007?	table_csv/203_465.csv	['(4, 2)']	['5,174']
nt-6436	1	0	what locations are in brasov metropolitan area?	table_csv/203_465.csv	['(0, 0)', '(1, 0)', '(2, 0)', '(3, 0)', '(4, 0)', '(5, 0)', '(6, 0)', '(7, 0)', '(8, 0)', '(9, 0)', '(10, 0)', '(11, 0)', '(12, 0)', '(13, 0)']	['Brasov', 'Codlea', 'Sacele', 'Ghimbav', 'Predeal', 'Rasnov', 'Cristian', 'Sanpetru', 'Halchiu', 'Tarlungeni', 'Prejmer', 'Harman', 'Bod', 'Total']
nt-6436	1	1	what was the population of each location during 2007?	table_csv/203_465.csv	['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(4, 2)', '(5, 2)', '(6, 2)', '(7, 2)', '(8, 2)', '(9, 2)', '(10, 2)', '(11, 2)', '(12, 2)', '(13, 2)']	['277,945', '24,550', '31,796', '5,357', '5,174', '16,055', '4,300', '3,759', '4,560', '7,996', '8,876', '4,775', '4,173', '399,316']
nt-6436	1	2	of those, which population is associated with predeal?	table_csv/203_465.csv	['(4, 2)']	['5,174']
nt-6436	2	0	what are the names of all the localities in the brasov metropolitan area?	table_csv/203_465.csv	['(0, 0)', '(1, 0)', '(2, 0)', '(3, 0)', '(4, 0)', '(5, 0)', '(6, 0)', '(7, 0)', '(8, 0)', '(9, 0)', '(10, 0)', '(11, 0)', '(12, 0)', '(13, 0)']	['Brasov', 'Codlea', 'Sacele', 'Ghimbav', 'Predeal', 'Rasnov', 'Cristian', 'Sanpetru', 'Halchiu', 'Tarlungeni', 'Prejmer', 'Harman', 'Bod', 'Total']
nt-6436	2	1	what is the amount of residents for predeal for 2007's recording?	table_csv/203_465.csv	['(4, 2)']	['5,174']
ns-1107	0	0	which shows on fox are available on thursday?	table_csv/204_839.csv	['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(7, 2)']	['The Morning Click', '', 'FBN Live', 'On the Hunt', 'Fox Car Report']
ns-1107	0	1	of these shows, which program only airs on thursday?	table_csv/204_839.csv	['(7, 2)']	['Fox Car Report']
